Name:,Games,Plate Appearances,At Bats,Runs,Hits,2B,3B,HR,RBI,SB,CS,Walks,Strikeouts,BA,OBP,SLG,OPS,Total Bases,Double Plays,HBP,Sacrifice Bunts,Sacrifice Flies,BABIP,ISO,Strikeout %,Walk %,HR %,Total Average,Secondary Average,Runs Created,Intentional Walks
Will Machnik,10,9,5,5,0,0,0,0,0,0,0,4,2,0.000,0.444,0.000,0.444,0,0,0,0,0,0.000,0.000,22.22%,44.44%,0.00%,0.800,0.800,0.000,0
Elliott Seymour,2,6,4,0,1,0,0,0,0,1,0,2,2,0.250,0.500,0.250,0.750,1,0,0,0,0,0.500,0.000,33.33%,33.33%,0.00%,1.333,0.750,0.500,0
Stephen Souder,21,73,59,13,23,4,0,0,9,2,1,12,16,0.390,0.493,0.458,0.951,27,1,1,1,0,0.535,0.068,21.92%,16.44%,0.00%,1.079,0.288,13.310,0
Tripp Woytowicz,2,0,0,1,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
Kenny Carlisle,2,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,#DIV/0!,0.000,100.00%,0.00%,0.00%,0.000,0.000,0.000,0
Caleb Levesque,16,23,18,8,3,0,0,0,2,2,0,5,7,0.167,0.348,0.167,0.514,3,0,0,0,0,0.273,0.000,30.43%,21.74%,0.00%,0.667,0.389,1.043,0
Landon Whayne,21,53,45,3,10,2,0,0,9,5,2,3,13,0.222,0.283,0.267,0.550,12,0,2,1,2,0.294,0.044,24.53%,5.66%,0.00%,0.541,0.178,3.250,0
Conor Moriarty,19,76,54,20,17,1,1,0,9,10,3,14,11,0.315,0.487,0.370,0.857,20,0,6,0,2,0.378,0.056,14.47%,18.42%,0.00%,1.175,0.444,9.118,0
Tom Spater,20,58,48,9,11,2,0,0,7,2,1,8,18,0.229,0.345,0.271,0.616,13,1,1,1,0,0.367,0.042,31.03%,13.79%,0.00%,0.590,0.229,4.411,0
Gavin Rigney,21,78,54,16,14,2,0,0,11,3,1,16,9,0.259,0.474,0.296,0.771,16,3,7,0,1,0.304,0.037,11.54%,20.51%,0.00%,0.932,0.370,6.857,0
Ryan McHugh,14,54,42,14,17,2,1,1,12,4,1,4,7,0.405,0.481,0.571,1.053,24,1,5,0,3,0.432,0.167,12.96%,7.41%,1.85%,1.333,0.333,10.957,0
Fletcher Waterman,21,78,58,12,18,4,0,1,16,3,0,15,11,0.310,0.474,0.431,0.905,25,1,4,0,1,0.362,0.121,14.10%,19.23%,1.28%,1.146,0.431,11.301,0
Wade Hartrick,11,27,24,6,4,2,1,0,3,0,0,3,5,0.167,0.259,0.333,0.593,8,1,0,0,0,0.211,0.167,18.52%,11.11%,0.00%,0.524,0.292,2.074,0
Caleb Kirkpatrick,13,28,22,0,6,2,0,0,4,0,2,5,11,0.273,0.393,0.364,0.756,8,0,0,1,0,0.545,0.091,39.29%,17.86%,0.00%,0.611,0.227,3.259,0
Willem Thurber,5,9,7,1,0,0,0,0,0,0,0,2,6,0.000,0.222,0.000,0.222,0,0,0,0,0,0.000,0.000,66.67%,22.22%,0.00%,0.286,0.286,0.000,0
Matt Keene,2,0,0,1,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
Cole Geer,13,24,21,3,4,0,0,0,2,2,1,3,5,0.190,0.292,0.190,0.482,4,0,0,0,0,0.250,0.000,20.83%,12.50%,0.00%,0.444,0.190,1.167,0
Henry Prince,18,65,53,12,15,2,1,1,15,1,0,7,14,0.283,0.369,0.415,0.784,22,0,2,0,3,0.341,0.132,21.54%,10.77%,1.54%,0.842,0.283,8.067,0
Jake Rohan,11,32,30,3,13,1,1,0,6,0,0,2,6,0.433,0.469,0.533,1.002,16,1,0,0,0,0.542,0.100,18.75%,6.25%,0.00%,1.000,0.167,7.500,0
